CECODID	CMERKM	CODTXTLD	CODTXTKD	CODTXTLF	CODTXTKF	CODTXTLI	CODTXTKI	CEXPDAT
7632	GWAERZW1	Heizkessel nicht kondensierend	Heizkessel nicht kondensierend	Chaudière standard	Chaudière standard	Caldaia standard	Caldaia standard	2026-05-08
7632	GWAERZW2	Heizkessel nicht kondensierend	Heizkessel nicht kondensierend	Chaudière standard	Chaudière standard	Caldaia standard	Caldaia standard	2026-05-08
7634	GWAERZW1	Heizkessel kondensierend	Heizkessel kondensierend	Chaudière à condensation	Chaudière à condensation	Caldaia a condensazione	Caldaia a condensazione	2026-05-08
7634	GWAERZW2	Heizkessel kondensierend	Heizkessel kondensierend	Chaudière à condensation	Chaudière à condensation	Caldaia a condensazione	Caldaia a condensazione	2026-05-08
7640	GWAERZW1	Wärmekraftkopplungsanlage	Wärmekraftkopplungsanlage	Installation couplage chaleur-force	Couplage chaleur-force	Impianto di cogenerazione di energia elettrica e termica	Cogenerazione elettrica-termica	2026-05-08
7640	GWAERZW2	Wärmekraftkopplungsanlage	Wärmekraftkopplungsanlage	Installation couplage chaleur-force	Couplage chaleur-force	Impianto di cogenerazione di energia elettrica e termica	Cogenerazione elettrica-termica	2026-05-08
7650	GWAERZW1	Zentraler Elektroboiler	Zentraler Elektroboiler	Boiler électrique central	Boiler électrique central	Boiler centrale elettrico	Boiler centrale elettrico	2026-05-08
7650	GWAERZW2	Zentraler Elektroboiler	Zentraler Elektroboiler	Boiler électrique central	Boiler électrique central	Boiler centrale elettrico	Boiler centrale elettrico	2026-05-08
7651	GWAERZW1	Kleinboiler	Kleinboiler	Petit boiler	Petit boiler	Piccolo boiler	Piccolo boiler	2026-05-08
7651	GWAERZW2	Kleinboiler	Kleinboiler	Petit boiler	Petit boiler	Piccolo boiler	Piccolo boiler	2026-05-08
7660	GWAERZW1	Wärmetauscher (einschliesslich für Fernwärme)	Wärmetauscher	Echangeur de chaleur (y compris pour la chaleur à distance)	Echangeur de chaleur	Scambiatore di calore e impianto ad hoc per teleriscaldamento	Scambiatore per teleriscaldamento	2026-05-08
7660	GWAERZW2	Wärmetauscher (einschliesslich für Fernwärme)	Wärmetauscher	Echangeur de chaleur (y compris pour la chaleur à distance)	Echangeur de chaleur	Scambiatore di calore e impianto ad hoc per teleriscaldamento	Scambiatore per teleriscaldamento	2026-05-08
7699	GWAERZW1	Andere	Andere	Autre	Autre	Altro	Altro	2026-05-08
7699	GWAERZW2	Andere	Andere	Autre	Autre	Altro	Altro	2026-05-08
8011	GBAUP	Periode vor 1919	Vor 1919	Période avant 1919	Avant 1919	Periodo prima del 1919	<1919	2026-05-08
8012	GBAUP	Periode von 1919 bis 1945	1919-1945	Période de 1919 à 1945	1919-1945	Periodo dal 1919 al 1945	1919-1945	2026-05-08
8013	GBAUP	Periode von 1946 bis 1960	1946-1960	Période de 1946 à 1960	1946-1960	Periodo dal 1946 al 1960	1946-1960	2026-05-08
8014	GBAUP	Periode von 1961 bis 1970	1961-1970	Période de 1961 à 1970	1961-1970	Periodo dal 1961 al 1970	1961-1970	2026-05-08
8015	GBAUP	Periode von 1971 bis 1980	1971-1980	Période de 1971 à 1980	1971-1980	Periodo dal 1971 al 1980	1971-1980	2026-05-08
8016	GBAUP	Periode von 1981 bis 1985	1981-1985	Période de 1981 à 1985	1981-1985	Periodo dal 1981 al 1985	1981-1985	2026-05-08
8017	GBAUP	Periode von 1986 bis 1990	1986-1990	Période de 1986 à 1990	1986-1990	Periodo dal 1986 al 1990	1986-1990	2026-05-08
